Model,Accuracy,Spam Precision,Spam Recall,Spam F1
TF-IDF + MultinomialNB,0.9650224215246637,0.9910714285714286,0.7449664429530202,0.8505747126436781
GloVe + MultinomialNB,0.8663677130044843,0.0,0.0,0.0
